"CONTEXT", "ID", "TEXT"
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation."
"BulletinInnerTouchTut","Touch and drag to fine-tune highlighted selection.","Touch and drag to fine-tune highlighted selection."
"BulletinInnerPassportTut","Pay attention to passport nationality.","Pay attention to passport nationality."
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Kazakh<br>Ministry of Admission"
"BulletinInnerBoothTut","Inspector's Booth","Inspector's Booth"
"BulletinInnerBoothTut","Shutter","Shutter"
"BulletinInnerBoothTut","Counter","Counter"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date"
"BulletinInnerBoothTut2","Arstotzkan<br>Ministry of Admission","Kazakh<br>Ministry of Admission"
"BulletinInnerBoothTut2","Inspector's Booth","Inspector's Booth"
"BulletinInnerBoothTut2","Shutter","Shutter"
"BulletinInnerBoothTut2","Counter","Counter"
"BulletinInnerBoothTut2","Audio Transcript<br>Rule Book<br>Weight<br>","Audio Transcript<br>Rule Book<br>Weight<br>"
"BulletinInnerBoothTut2","Bulletin Storage<br>Time &amp; Date","Bulletin Storage<br>Time &amp; Date"
"BulletinInnerGunTut","Weapons Protocol","Weapons Protocol"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","WHEN ALARM SOUNDS"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","Drop key on tumbler to unlock weapon."
"BulletinInnerGunTut","Select gun, aim and fire.","Select gun, aim and fire."
"BulletinInnerGunTut","Time is short. Act fast.","Time is short. Act fast."
"BulletinInnerFilerTut","Passport Confiscation","Passport Confiscation"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","Verify ALTAN resident on id."
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Drop passport in confiscation drawer."
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","If arresting, confiscate before detaining."
"BulletinInnerCriminals","Ministry of Justice","Ministry of Justice"
"BulletinInnerCriminals","WANTED CRIMINALS","WANTED CRIMINALS"
"BulletinInnerNews","NEWS","NEWS"
"BulletinPagesNote","CHECK ALL<br>PAGES","CHECK ALL<br>PAGES"
"CitationInner","M.O.A. CITATION","M.O.A. CITATION"
"DiplomaticAuthInner","Diplomatic<br>Authorization","Diplomatic<br>Authorization"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","This document authorizes named agent as a diplomatic entity of a Council of Nations member state."
"DiplomaticAuthInner","AGENT","AGENT"
"DiplomaticAuthInner","PASSPORT","PASSPORT"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","Unconditional access to all named Council of Nations member states must be granted upon presentation."
"DiplomaticAuthInner","This document has no expiry.","This document has no expiry."
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","COUNCIL OF NATIONS - SEVEN MEMBER FORUM"
"EntryPermitInner","ARSTOTZKA","ARSTOTZKA"
"EntryPermitInner","Entry Permit","Entry Permit"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","Conditional entry to the sovereign nation of Kazakhstan is hereby granted to"
"EntryPermitInner","bearing passport number","bearing passport number"
"EntryPermitInner","Purpose","Purpose"
"EntryPermitInner","Duration","Duration"
"EntryPermitInner","Enter by","Enter by"
"EntryPermitInner","Ministry of Admission","Ministry of Admission"
"EntryTicketInner","Arstotzka","Kazakhstan"
"EntryTicketInner","ENTRY TICKET","ENTRY TICKET"
"EntryTicketInner","VALID ON","VALID ON"
"EzicNoteInnerOpen","READ QUICKLY","READ QUICKLY"
"EzicNoteInnerOpen","RETURN TO MESSENGER","RETURN TO MESSENGER"
"FamilyPhotoInner","HANG ON WALL","HANG ON WALL"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","GIVE THIS PAPER TO APPLICANT"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","NEED FORGED<br>OBRISTAN DOCS?"
"ForgeryFlyerInnerFront","""It looks so real!""","""It looks so real!"""
"ForgeryFlyerInnerFront","""Approved for entry!""","""Approved for entry!"""
"ForgeryFlyerInnerFront","Fair rates!","Fair rates!"
"ForgeryFlyerInnerFront","No questions asked!","No questions asked!"
"ForgeryFlyerInnerFront","Fast turnaround!","Fast turnaround!"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","CONDITIONS ON BACK"
"ForgeryFlyerInnerBack","PRICING (EACH)","PRICING (EACH)"
"ForgeryFlyerInnerBack","Passport *","Passport *"
"ForgeryFlyerInnerBack","Entry Ticket","Entry Ticket"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","Client must provide existing Obristan passport to be modified with new info"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","Service at border Kazakhstan/Obristan"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","Ask for Timofei Wee"
"GymFlyerInner","Underweight?Weak?Tired?","Underweight?Weak?Tired?"
"GymFlyerInner","JOIN BEST GYM!","JOIN BEST GYM!"
"GymFlyerInner","GET BIG TOWN","GET BIG TOWN"
"GymFlyerInner","East Grestin","East Grestin"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","THIS ENTRANT HAS NO DOCUMENTS"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","To proceed, use INSPECT mode to interrogate."
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","Review page 2 of today's bulletin for full instructions."
"IdCardInner","ARSTOTZKA IDENTITY CARD","ARSTOTZKA IDENTITY CARD"
"IdCardInner","DOB","DOB"
"IdCardInner","HT.","HT."
"IdCardInner","WT.","WT."
"IdentityRecordInner","M.O.A. IDENTITY RECORD","M.O.A. IDENTITY RECORD"
"IdentityRecordInner","NAME:","NAME:"
"IdentityRecordInner","ALIAS:","ALIAS:"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","Applicant's fingerprints and claimed name/alias must match this record."
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","IDENTITY<br>SUPPLEMENT"
"IdSupplementInner","HT","HT"
"IdSupplementInner","WT","WT"
"IdSupplementInner","DESCRIPTION","DESCRIPTION"
"IdSupplementInner","THUMB","THUMB"
"IdSupplementInner","Keep on person","Keep on person"
"IdSupplementInner","EXP.","EXP."
"LocketInnerOpen","To Sergiu from your Elisa","To Sergiu from your Elisa"
"LocketInnerOpen","I Love You Always","I Love You Always"
"LoveSongInner1","YOU","YOU"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","YOU ARE HOT LIKE FIRE"
"LoveSongInner2","you","you"
"LoveSongInner2","OBJECT OF DESIRE","OBJECT OF DESIRE"
"LoveSongInner3","YOU<br>(AGAIN)","YOU<br>(AGAIN)"
"LoveSongInner3","WRAP MY HEART IN WIRE","WRAP MY HEART IN WIRE"
"LoveSongInner4","ApPROVED","ApPROVED"
"LoveSongInner4","APPROVE MY VISA","APPROVE MY VISA"
"tweak-passport-field-padding-left","2px","2px"
"PassportInnerAntegria","ENTRY VISA","ENTRY VISA"
"PassportInnerAntegria","DOB.","DOB."
"PassportInnerAntegria","SEX","SEX"
"PassportInnerAntegria","ISS.","ISS."
"PassportInnerAntegria","EXP.","EXP."
"PassportInnerAntegria","ANTEGRIA","ANTEGRIA"
"tweak-passport-arstotzka-nation","16px","16px"
"PassportInnerArstotzka","ENTRY VISA","ENTRY VISA"
"PassportInnerArstotzka","DOB.","DOB."
"PassportInnerArstotzka","SEX","SEX"
"PassportInnerArstotzka","ISS.","ISS."
"PassportInnerArstotzka","EXP.","EXP."
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKA"
"PassportInnerImpor","ENTRY VISA","ENTRY VISA"
"PassportInnerImpor","DOB.","DOB."
"PassportInnerImpor","SEX","SEX"
"PassportInnerImpor","ISS.","ISS."
"PassportInnerImpor","EXP.","EXP."
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","ENTRY VISA"
"PassportInnerKolechia","DOB.","DOB."
"PassportInnerKolechia","SEX","SEX"
"PassportInnerKolechia","ISS.","ISS."
"PassportInnerKolechia","EXP.","EXP."
"PassportInnerKolechia","KOLECHIA","KOLECHIA"
"PassportInnerObristan","ENTRY VISA","ENTRY VISA"
"PassportInnerObristan","DOB.","DOB."
"PassportInnerObristan","SEX","SEX"
"PassportInnerObristan","ISS.","ISS."
"PassportInnerObristan","EXP.","EXP."
"PassportInnerObristan","OBRISTAN","OBRISTAN"
"PassportInnerRepublia","ENTRY VISA","ENTRY VISA"
"PassportInnerRepublia","DOB.","DOB."
"PassportInnerRepublia","SEX","SEX"
"PassportInnerRepublia","ISS.","ISS."
"PassportInnerRepublia","EXP.","EXP."
"PassportInnerRepublia","REPUBLIA","REPUBLIA"
"PassportInnerUnitedFed","ENTRY VISA","ENTRY VISA"
"PassportInnerUnitedFed","DOB.","DOB."
"PassportInnerUnitedFed","SEX","SEX"
"PassportInnerUnitedFed","ISS.","ISS."
"PassportInnerUnitedFed","EXP.","EXP."
"PassportInnerUnitedFed","UNITED FEDERATION","UNITED FEDERATION"
"PlaqueOneInner","Ministry of Admission","Ministry of Admission"
"PlaqueOneInner","RECOGNITION","RECOGNITION"
"PlaqueOneInner","FOR","FOR"
"PlaqueOneInner","HANG ON WALL","HANG ON WALL"
"PlaqueTwoInner","Ministry of Admission","Ministry of Admission"
"PlaqueTwoInner","RECOGNITION","RECOGNITION"
"PlaqueTwoInner","FOR","FOR"
"PlaqueTwoInner","HANG ON WALL","HANG ON WALL"
"PoisonInnerBack","OPEN","OPEN"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","DO NOT TOUCH POWDER"
"PoisonInnerOpen1","CLOSE","CLOSE"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","ALIGN POWDER OVER PASSPORT"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","PUSH HARD TO AFFIX"
"PoisonInnerOpen2","CLOSE","CLOSE"
"PoliceBadgeInner","MINISTRY OF INFORMATION","MINISTRY OF INFORMATION"
"PoliceBadgeInner","Office of Investigation","Office of Investigation"
"PoliceBadgeInner","East Grestin Division","East Grestin Division"
"PoliceBadgeInner","Special Investigator","Special Investigator"
"PoliceBadgeInner","MOI","MOI"
"PressPassInner","INTERNATIONAL","INTERNATIONAL"
"PressPassInner","PRESS","PRESS"
"PressPassInner","IDENTIFICATION","IDENTIFICATION"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","PASSPORT <span>ISS.</span> FIELD MUST BE VALID"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","DOCUMENT MUST<br>HAVE A SEAL"
"RulesInnerHome","Arstotzkan","Kazakh"
"RulesInnerHome","Ministry<span>of</span>Admission","Ministry<span>of</span>Admission"
"RulesInnerHome","RULES","RULES"
"RulesInnerHome","&amp;","&amp;"
"RulesInnerHome","REGULATIONS","REGULATIONS"
"RulesInnerHome","for Inspectors","for Inspectors"
"RulesInnerHome","CONTENTS","CONTENTS"
"RulesInnerHome","PROPERTY OF","PROPERTY OF"
"RulesInnerHome","M.O.A","M.O.A"
"RulesInnerBasic","RULES","RULES"
"RulesInnerRegion","DIPLOMATIC SEALS","DIPLOMATIC SEALS"
"RulesInnerRegion","PASSPORT","PASSPORT"
"RulesInnerRegion","ISSUING CITIES","ISSUING CITIES"
"RulesInnerRegionArstotzka","DISTRICTS","DISTRICTS"
"RulesInnerRegionArstotzka","PASSPORT","PASSPORT"
"RulesInnerRegionArstotzka","ISSUING CITIES","ISSUING CITIES"
"RulesInnerBooth","INSPECTOR'S BOOTH","INSPECTOR'S BOOTH"
"RulesInnerBooth","Shutter","Shutter"
"RulesInnerBooth","Counter","Counter"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date"
"RulesInnerBooth","UPGRADES","UPGRADES"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","NO UPGRADES<br>INSTALLED"
"RulesInnerBooth2","INSPECTOR'S BOOTH","INSPECTOR'S BOOTH"
"RulesInnerBooth2","Shutter","Shutter"
"RulesInnerBooth2","Counter","Counter"
"RulesInnerBooth2","Audio Trans.<br>Rule Book<br>Weight","Audio Trans.<br>Rule Book<br>Weight"
"RulesInnerBooth2","Bulletin<br>Time &amp; Date","Bulletin<br>Time &amp; Date"
"RulesInnerBooth2","UPGRADES","UPGRADES"
"RulesInnerBooth2","NO UPGRADES<br>INSTALLED","NO UPGRADES<br>INSTALLED"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","OFFICIALLY RECOGNIZED"
"RulesInnerDocs","DOCUMENTS","DOCUMENTS"
"RulesInnerDocs","CONTENTS","CONTENTS"
"RulesInnerEntryPermit","ENTRY PERMIT","ENTRY PERMIT"
"RulesInnerEntryPermit","VALID SEALS","VALID SEALS"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","ARSTOTZKAN<br>ID CARD"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","ISSUED TO ALL ARSTOTZKAN CITIZENS"
"RulesInnerIdCard","DISTRICTS","DISTRICTS"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","IDENTITY<br>SUPPLEMENT"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","ISSUED TO ALL QUALIFIED FOREIGNERS"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY"
"RulesInnerAccessPermit","ACCESS PERMIT","ACCESS PERMIT"
"RulesInnerAccessPermit","VALID SEALS","VALID SEALS"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT"
"RulesInnerWorkPermit","WORK PASS","WORK PASS"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","ISSUED TO ALL QUALIFIED FOREIGN LABOR"
"RulesInnerWorkPermit","VALID SEALS","VALID SEALS"
"RulesInnerDiplomaticAuth","DIPLOMATIC","DIPLOMATIC"
"RulesInnerDiplomaticAuth","AUTHORIZATION","AUTHORIZATION"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","VALIDATE SEAL WITH COUNTRY PAGE"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","GRANT OF<br>ASYLUM"
"RulesInnerAsylumGrant","VALID SEALS","VALID SEALS"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","ALWAYS VERIFY FINGERPRINTS"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","VACCINE CERTIFICATE"
"RulesInnerVaccineCert","MINISTRY","MINISTRY"
"RulesInnerVaccineCert","OF","OF"
"RulesInnerVaccineCert","HEALTH","HEALTH"
"RulesInnerVaccineCert","REGULATION DOCUMENT","REGULATION DOCUMENT"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS"
"RulesInnerVaccineCert","NO EXCEPTIONS","NO EXCEPTIONS"
"RulesInnerConfiscation","PASSPORT CONFISCATION","PASSPORT CONFISCATION"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","DROP PASSPORT IN CONFISCATION DRAWER"
"RulesInnerConfiscation","POLICY","POLICY"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","PASSPORT MUST BE CONFISCATED BEFORE DETAINING"
"RulesInnerConfiscation","MOI","MOI"
"RulesInnerLast","PROPERTY OF","PROPERTY OF"
"RulesInnerLast","M.O.A.","M.O.A."
"RulesInnerLast","GLORY TO ARSTOTZKA","GLORY TO ARSTOTZKA"
"RulesInnerLast","Arstotzkan","Kazakh"
"RulesInnerLast","Ministry of Admission","Ministry of Admission"
"RulesInnerLast","Rules &amp; Regulations","Rules &amp; Regulations"
"RulesInnerLast","for Inspectors","for Inspectors"
"RulesInnerLast","1982-1983 Edition","1982-1983 Edition"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY"
"RulesTabConfL","CONF.","CONF."
"RulesTabConfR","CONF.","CONF."
"RulesTabDocsL","DOCS","DOCS"
"RulesTabDocsR","DOCS","DOCS"
"RulesTabMapL","MAP","MAP"
"RulesTabMapR","MAP","MAP"
"RulesTabRulesL","RULES","RULES"
"RulesTabRulesR","RULES","RULES"
"RulesUpgrade0","TOGGLE INSPECT","TOGGLE INSPECT"
"RulesUpgrade0","SPACE","SPACE"
"RulesUpgrade1","TOGGLE STAMP BAR","TOGGLE STAMP BAR"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","RULEBOOK SHORTCUTS"
"RulesUpgrade3","QUICK INSPECT","QUICK INSPECT"
"RulesUpgrade3","DOUBLE-CLICK","DOUBLE-CLICK"
"RulesUpgrade4","MULTITOUCH","MULTITOUCH"
"SeizureSlipInner","Arstotzka Ministry of Admission","Kazakhstan Ministry of Admission"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","PASSPORT SEIZURE SLIP"
"SeizureSlipInner","ENTRY VISA","ENTRY VISA"
"SeizureSlipInner","Your passport has been seized.","Your passport has been seized."
"SeizureSlipInner","Contact 1509-6103 for redress.","Contact 1509-6103 for redress."
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Mating Habits of Lesser Uzbek Waterfowl"
"SpyDocsInnerBack","A FULL REPORT","A FULL REPORT"
"SpyDocsInnerBack","Ministry of Information","Ministry of Information"
"TranscriptInner","AUDIO TRANSCRIPT","AUDIO TRANSCRIPT"
"VaccineCertInner","Certificate<span>of</span>Vaccination","Certificate<span>of</span>Vaccination"
"VaccineCertInner","ID#","ID#"
"VaccineCertInner","DATE","DATE"
"VaccineCertInner","VACCINE","VACCINE"
"VaccineCertInner","Vax valid for 3 years","Vax valid for 3 years"
"VisaSlipInner","TEMPORARY VISA SLIP","TEMPORARY VISA SLIP"
"VisaSlipInner","ENTRY VISA","ENTRY VISA"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","TO BE USED FOR DENIALS ONLY"
"WorkPermitInner","Ministry of Labor","Ministry of Labor"
"WorkPermitInner","Work Pass","Work Pass"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","This pass grants its holder the right to work in a specific field for a limited time."
"WorkPermitInner","HOLDER","HOLDER"
"WorkPermitInner","FIELD","FIELD"
"WorkPermitInner","UNTIL","UNTIL"
"WorkPermitInner","Keep this pass with you at all times.","Keep this pass with you at all times."
"EndNews","Kolechian Consensus Reached Over Grestin","Uzbek Consensus Reached Over Grestin"
"ApartmentClass","CLASS","CLASS"
"DetainButton","DETAIN","DETAIN"
"FingerprintButton","FINGERPRINT","FINGERPRINT"
"SearchButton","SEARCH","SEARCH"
"EmblemsMOA","M.O.A","M.O.A"
"EmblemsMOA","M.O.L","M.O.L"
"EmblemsMOL","M.O.L","M.O.L"
"Filer","CONFISCATED DOCUMENTS","CONFISCATED DOCUMENTS"
"Filer","PROPERTY OF","PROPERTY OF"
"Filer","M.O.A.","M.O.A."
"GiveIcon","GIVE","GIVE"
"LoadButtonNew","NEW","NEW"
"LoadDay","DAY","DAY"
"LoadDrag","DRAG TO SCROLL","DRAG TO SCROLL"
"News","The Truth of Arstotzka","The Truth of Kazakhstan"
"News","No Charge","No Charge"
"ReasonButton","REASON","REASON"
"RifleKill","KILL","KILL"
"RifleTranq","TRANQ","TRANQ"
"StampBarMid","ALIGN VISA BENEATH STAMP","ALIGN VISA BENEATH STAMP"
"Upgrades","SPACE","SPACE"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","capture/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","HANG ON WALL"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","capture/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","East Grestin"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","FOR ALL YOUR FANTASIES"
"image:PezpertInner.png","capture/PezpertInner.png","capture/PezpertInner.png"
"PezpertInner","STAMP HERE","STAMP HERE"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","capture/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","hanG on wAll"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","capture/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","capture/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","export/Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","export/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","export/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","export/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","export/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","export/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","export/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","export/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","export/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","export/Obrinspector.png"
"image:Shutter.png","export/Shutter.png","export/Shutter.png"
"news:RANDOM_WEATHER","The Weather","The Weather"
"news:RANDOM_SPORTS","Sports","Sports"
"news:RANDOM_ENTERTAINMENT","Entertainment","Entertainment"
"news:RANDOM_POLITICS","Politics","Politics"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","Grestin Border Checkpoint Opens At Last!"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?"
"news:FIRST_DAY","Families To Reunite","Families To Reunite"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","Grestin Checkpoint a Success!"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","Entry Restrictions To Relax, Admit Foreigners"
"news:CHECKPOINT_SUCCESS","Analysts Upbeat","Analysts Upbeat"
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted","Increased Trade And Cooperation Predicted"
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!","Terrorists Strike At Grestin!"
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.","Uzbek Agitators Suspected."
"news:FIRST_TERRORISTS","Checkpoint Lockdown","Checkpoint Lockdown"
"news:FIRST_TERRORISTS","More Guards - More Scrutiny","More Guards - More Scrutiny"
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes","Blackmarket Activity Explodes"
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls","Government Blames Lax Immigration Controls"
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed","Checkpoint Expansion Postponed"
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer","Jobs Few, Becoming Fewer"
"news:WORKPERMIT_FIRST","Immigrants Taking Jobs From Locals","Immigrants Taking Jobs From Locals"
"news:KOLECHIA_COMPLAINS_SEARCH","Kolechian Leader Files Complaint","Uzbek Leader Files Complaint"
"news:KOLECHIA_COMPLAINS_SEARCH","Claims Unprovoked Border Searches Violate Rights","Claims Unprovoked Border Searches Violate Rights"
"news:AFTER_SUICIDE_BOMBER","Another Attack At Grestin Checkpoint!","Another Attack At Grestin Checkpoint!"
"news:AFTER_SUICIDE_BOMBER","Suicide Bomber Slips Through Security","Suicide Bomber Slips Through Security"
"news:GENERIC_BOMBER","Grestin Suffers Another Border Attack","Grestin Suffers Another Border Attack"
"news:GENERIC_BOMBER","Suicide Bombings Becoming Routine","Suicide Bombings Becoming Routine"
"news:PIMP_BUSTED","Human Trafficking Ring Shut Down!","Human Trafficking Ring Shut Down!"
